postCode,city
8793,Trofaiach
2124,Niederkreuzstetten
7221,Marz
6123,Terfens
4643,Pettenbach
8254,Wenigzell
2091,Langau
3340,Waidhofen/Ybbs
3202,Hofstetten-Grünau
6345,Kössen
4342,Baumgartenberg
3131,Inzersdorf
4942,Gurten
3834,Pfaffenschlag
2870,Aspang
5550,Radstadt
1230,Wien
1210,"Wien 21., Floridsdorf"
2344,Maria Enzersdorf
4822,Bad Goisern
1150,Wien
1190,Wien
7551,Stegersbach
4204,Reichenau i.M.
8330,Feldbach
80809 ,München
6068,Mils
4982,Kirchdorf am Inn
2225,Zistersdorf
9020,Klagenfurt
8353,Kapfenstein
7301,Deutschkreutz
1020,Wien
5020,salzburg
1090,Wien
,
8081,Heiligenkreuz am Waasen
8152,Stallhofen
1002,Wien
5741,Neukirchen
8463,Leutschach an der Weinstraße
2380,Perchtoldsdorf
8680,Mürzzuschlag
6130,Schwaz
3430, Tulln an der Donau
1200,Wien
4600,Wels
9640,Kötschach-Mauthen
4204,Reichenau im Mühlkreis 
8077,Gössendorf
3104,St. Pölten-Harland
2551,Enzesfeld 
5230,Mattighofen
4820,Bad Ischl
4710,Grieskirchen
8850,Murau
9020,Klagenfurt am Wörthersee
8430,Kaindorf
4614,Marchtrenk
4563,Micheldorf
3910,Zwettl
2103,Langenzersdorf
4320,Perg
8763,Möderbrugg
2020,Gemeinde Hollabrunn
4850,Timelkam
4040,Linz
1100,Wien
1210,Wien
4520,Freistadt
2524,Teesdorf
8160,Preding
1140,Wien
3250,Wieselburg
5700,Zell am See
3580,Horn
2700,Wiener Neustadt
4150,Rohrbach
9400,Wolfsberg
5760,Saalfelden am Steinernen Meer
9800,Spittal an der Drau
9560,Feldkirchen in Kärnten
2100,Korneuburg
4070,Eferding
8403,Lang
4300,St. Valentin
8280,Fürstenfeld
5280,Braunau
8940,Liezen
4812,Pinsdorf
8970,Schladming
3390,Melk
3500,Krems an der Donau
8230,Eggendorf
7100,Neusiedl am See
5301,Eugendorf
2512,Traiskirchen
8490,Bad Radkersburg
4911,Tumeltsham
8740,Zeltweg
3300,Amstetten
8020,Graz
9300,Sankt Veit an der Glan
2320,Schwechat
4782,Badhöring
3242,Texingtal
3613,Albrechtsberg
4616,Weißkirchen
4653,Eberstalzell
4072 Alkoven,ALKOVEN
5500,Bischofshofen
6283,Schwendau
6235,Reith im Alpbachtal
2824,Seebenstein
8471,Spielfeld
4053,Haid
8551,Wies
6522,Prutz
4910,Ried im Innkreis
6611,Heiterwang
6212,Maurach
6184 ,St. Sigmund im Sellrain
2500,Baden B.Wien
6100,Seefeld in Tirol
6500,Landeck
8463,Glanz an der Weinstraße
6632,Ehrwald
2353,Guntramsdorf
6410,Telfs
6167,Neustift
2540,Bad Vöslau
6094,Axams
7342,Gnas
6393,St. Ulrich am Pillersee
6263,Fügen
6166,Fulpmes
2431,Kleinneusiedl
4752,Riedau
6063,Rum
8200,Gleisdorf
6080,Igls
6072,Lans
6631,Lermoos
6401,Inzing
4642,Sattledt
5503,Thalgau
6306,Söll
5322,Hof bei Salzburg
6264,Fügenberg
2284,Untersiebenbrunn
6533,FIss
2345,Brunn am Gebirge
3631,Ottenschlag
6175,Kematen
6233,Kramsach
6060,Hall in Tirol
6272,Kaltenbach im Zillertal
4840,Vöckblabruck
8463,Glanz an der Weinstrasse
8041,Graz
6167,Neustift im Stubaital
6112 ,Wattens
6210,Wiesing
8443,Gleinstätten
6230,Brixlegg
6441,Umhausen
9330,Althofen
8983,Bad Mitterndorf
6314,Niederau
5018,Salzburg
6574,Pettneu
6414,Barwies
4122,Arnreit
6371,Kitzbühel
6542,Kaunertal
6405,Pfaffenhofen
6881,Mellau
6414,Obermieming
4676,Aistersheim
8967,Haus im Ennstal
6563,Galtür
3385,Gerersdorf
6500,Landeck-Gurnau
6150,Steinach am Brenner
6391,Fieberbrunn
6143,Matrei am Brenner
6604,Höfen
6284,Ramsau
5360,St. Wolfgang
6450,Sölden
6082,Patsch
4223,Katsdorf
8160,Gutenberg-Stenzengreith
9920,Sillian
6142,Mieders
6300,Wörgl
8141,Premstätten
6562,Mathon
6175,Kematen in Tirol
6122,Fritzens
6281,Gerlos
6534,Serfaus
6232,Fügen
6250,Kundl
6672,Nesselwängle
6511,Zams
1120,Wien
6294,Hintertux
8412,Allerheiligen b. Wildon
6971,Hard
6632,Lermoos
6261,Strass im Zillertal
8463,Leutschach
7111,Parndorf
4845,Rutzenmoos - Regau
6275,Stumm
8962,Michaelaberg - Pruggern
8961,Sölk
8965,Michaelaberg - Pruggern
8352,Unterlamm
8333,Riegersburg
5092,St. Martin bei Lofer
3430,Neuaigen
2511,Pfaffstätten
3522,Lichtenau/Waldviertel
3945,Hoheneich
9971,Matrei in Osttirol
6272,Kaltenbach
8591,Maria Lankowitz
8563,Ligist
8564,Krottendorf-Gaisfeld
5280,Braunau am Inn
5221,Lochen
4822,Bad Goisern am Hallstättersee
4780,Schärding
4101,Feldkirchen an der Donau
4143,Neustift im Mühlkreis
4810,Gmunden
4573,Hinterstoder
4161,Ulrichsberg
4063,Hörsching
4150,Rohrbach in Oberösterreich
4190,Bad Leonfelden
4724,Eschenau im Hausruckkreis
4861,Aurach am Hongar
5141,Moosdorf
4813,Altmünster
4722,Peuerbach
4113,St. Martin im Mühlkreis
4824,Gosau
4830,Hallstatt
4800,Attnang-Puchheim
4753,Taiskirchen im Innkreis
4880,St. Georgen im Attergau
5310,Mondsee
4523,Neuzeug
4680,Haag am Hausruck
4142,Hofkirchen im Mühlkreis
4702,Wallern an der Trattnach
4725,St. Aegidi
4100,Ottensheim
4861,Schörfling
5311,Innerschwand am Mondsee
4522,Sierning
4490,St. Florian
4755,Zell an der Pram
4160,Aigen-Schlägl
4550,Kremsmünster
4452,Ternberg
4840,Vöcklabruck
4090,Engelhartszell
4521,Schiedlberg
4775,Taufkirchen an der Pram
4407,Dietach
4982,Obernberg am Inn
5270,Mauerkirchen
4491,Niederneukirchen
4893,Zell am Moos
4723,Natternbach
7100,Neusiedl
7071,Rust
7152,Pamhagen
7141,Podersdorf
7132,Frauenkirchen
8380,Jennersdorf
7400,Oberwart
7083,Purbach
7350,Oberpullendorf
7041,Wulkaprodersdorf
7321,Raiding
8383,Eisenberg an der Raab
7432,Oberschützen
7011,Siegendorf
7052,Müllendorf
7312,Horitschon
7423,Pinkafeld
7151,Wallern
2710,Mattersburg
7023,Zemendorf
7035,Steinbrunn
7471,Rechnitz
7210,Mattersburg
7432,Pinkafeld
7540,Güssing
7461,Schlaining
7453,Steinberg-Dörfl
7343,Neutal
7222,Rohrbach bei Mattersburg
7053,Hornstein
7091,Breitenbrunn
7022,Schattendorf
7210,Walbersdorf
7332,Kobersdorf
7093,Jois
7361,Kroatisch Geresdorf
7322,Lackenbach
7361,Lutzmannsburg
7142,Illmitz
7474,Deutsch-Schützen
7311,Neckenmarkt
8385,Mühlgraben
7082,Donnerskirchen
7434,Bernstein
2443,Leithaprodersdorf
7344,Stoob
7302,Nikitsch
7122,Gols
7062,St. Margarethen im Burgenland
7121,Weiden am See
2423,Deutsch-Jahrndorf
7051,Großhöflein
7202,Bad Sauerbrunn
7072,Mörbisch am See
2425,Nickelsdorf
7433,Mariasdorf
2421,Kittsee
7503,Großpetersdorf
7472,Schandorf
3321,Kollmitzberg
3321,Ardagger Stift
3321,Stephanshart
8263,Grosswilfersdorf
2405,Bad Deutsch-Altenburg
4816,Gschwandt
3231,St.Margarethen/Sierning
2514,Traiskirchen
4644,Scharnstein
3340,Waidhofen
3074,Michelbach
8055,Graz-Puntigam
4911,Tumeltsham 
4710,St. Georgen bei Grieskirchen
4950,Altheim
4782,St. Florian
4942,Wippenham
4932,Kirchheim
4921,Hohenzell
4710,St. Georgen bei Grieskirchen 
4801,Traunkirchen
3942,Hirschbach
3512,Mautern
3830,Waidhofen/Thaya
2230,Gänserndorf
3744,Klein - Meiseldorf
2253,Weikendorf
4040,Steyregg - Plesching
2340,Mödling
3812,Groß-Siegharts
3200,Ober-Grafendorf
3512,Mautern an der Donau
2000,Stockerau
4191,Vorderweißenbach
4221,Steyregg
3943,Schrems
3593,Neupölla
2232,Deutsch Wagram
3900,Schwarzenau
3972,Bad Großpertholz
3580,Mold
2214,Auersthal
4973,St. Martin im Innkreis
6460,Karrösten
4863,Seewalchen am Attersee
2232,Deutsch-Wagram
3872,Amaliendorf
2544,Leobersdorf
2231,Strasshof an der Nordbahn
4655,Vorchdorf
7061,Sankt Margarethen im Burgenland
3800,Göpfritz an der Wild
3851,Kautzen
3860,Heidenreichstein
3950,Gmünd
3591,Altenburg
3820,Raabs/Thaya
3800,Göpfritz
2244,Spannberg
3830,Waidhofen an der Thaya
3822,Karlstein
4663,Laakirchen
3754,Irnfritz
4203,Altenberg bei Linz
3385,Markersdorf an der Pielach
3922,Großschönau
3912,Grafenschlag
4284,Tragwein
3744,Stockern
3920,Groß Gerungs
4694,Ohlsdorf
2095,Drosendorf
3254,Bergland
4971,Aurolzmünster
6481,St. Leonhard im Pitztal
4895,Oberhofen am Irrsee
4170,Haslach an der Mühl
4860,Lenzing
4170,St. Stefan-Afiesl
5211,Friedburg-Lengau
5211,Lengau
4831,Obertraun
4654,Bad Wimsbach-Neydharting
4565,Inzersdorf
4910,Tumeltsham
4770,Andorf
4701,Bad Schallerbach
5212,Schneegattern
4240,Freistadt
4794,Kopfing im Innkreis
2552,Hirtenberg
2851 ,Krumbach
8934,Altenmarkt bei St. Gallen
8130,Frohnleiten
8770,St. Michael in Obersteiermark
8973,Schladming
8124,Übelbach
8521,Wettmannstätten
8224,Kaindorf bei Hartberg
8972,Ramsau am Dachstein
8692,Neuberg an der Mürz
8742,Obdach
8783,Gaishorn am See
8811,Scheifling
8530,Deutschlandsberg
8862,Stadl an der Mur
8775,Kalwang
8732,Seckau
8621,Thörl
8453,St.Johann im Saggautal
8642,St. Lorenzen im Mürztal
8924,Wildalpen
8160,Weiz
8790,Eisenerz
8076,Vasoldsberg
8582,Rosental an der Kainach
8472,Straß in der Steiermark
8832,Oberwölz
8113,St. Bartholomä
8224,Hartl bei Kaindorf
8911,Admont
8073,Feldkirchen bei Graz
8283,Graz
8462,Gamlitz
8501,Lieboch
8054,Graz-Straßgang
8543,St. Martin im Sulmtal
8283,Bad Blumau
8785,Hohentauern
8784,Trieben
8181,Mitterdorf an der Raab
8403,Lebring
8720,Knittelfeld
8052,Graz-Wetzelsdorf
8950,Stainach
8162,Passail
8954,St. Martin am Grimming
8113,Stiwoll
8114,Stübing
8792,St. Peter-Freienstein
8345,Straden
8240,Friedberg
8273,Ebersdorf
8344,Bad Gleichenberg
8262,Ilz
8720,Kobenz
8542,St. Peter im Sulmtal
8953,Donnersbach
8141,Unterpremstätten
8063,Eggersdorf bei Graz
8224,Hartl
8430,Leibnitz
8312,Ottendorf an der Rittschein
8120,Peggau
8243,Pinggau
8232,Grafendorf bei Hartberg
8750,Judenburg
8854,Krakaudorf
8200,Graz
8772,Traboch
8171,St. Kathrein am Offenegg
8492,Halbenrain
8505,St. Nikolai im Sausal
3240,Mank
3032,Eichgraben
3355,Ertl
3293,Lunz am See
2625,Schwarzau am Steinfeld
2020,Hollabrunn
2812,Hollenthon
2871,Zöbern
3386,Hafnerbach
3142,Weißenkirchen an der Perschling
3595,Brunn an der Wild
2532,Heiligenkreuz
2002,Großmugl
3430,Tulln an der Donau
3594,Franzen
3243,St. Leonhard am Forst
3441,Judenau-Baumgarten
2410,Hainburg a.d. Donau
2651,Reichenau an der Rax
2125,Ladendorf
2840,Grimmenstein
2452,Mannersdorf am Leithagebirge
3363,Amstetten
3250,Wieselburg-Land
3481,Fels am Wagram
2201,Hagenbrunn
3443,Sieghartskirchen
3130,Herzogenburg
3323,Neustadtl an der Donau
4431,Haidershofen
3300,Winklarn
3350,Haag
3971,St. Martin
3492,Etsdorf am Kamp
3874,Litschau
2542,Kottingbrunn
3508,Paudorf
3442,Langenrohr
2722,Winzendorf-Muthmannsdorf
2601,Sollenau
2624,St. Egyden am Steinfeld
3495,Rohrendorf bei Krems
3491,Straß im Straßertale
2102,Bisamberg
2153,Stronsdorf
2011,Sierndorf
3222,Annaberg
2074,Retzbach
3071,Böheimkirchen
3665,Gutenbrunn
3713,Harmannsdorf
2293,Marchegg
2120,Wolkersdorf im Weinviertel
3180,Lilienfeld
2620,Natschbach-Loipersbach
3261,Steinakirchen am Forst
2404,Petronell-Carnuntum
2203,Großebersdorf
2413,Berg
3970,Weitra
3714,Sitzendorf an der Schmida
2130,Mistelbach
3644,Emmersdorf an der Donau
3493,Hadersdorf-Kammern
3041,Asperhofen
3910,Zwettl-Niederösterreich
2211,Pillichsdorf
3423,St. Andrä-Wördern
2733,Grünbach am Schneeberg
3364,Neuhofen an der Ybbs
3013,Tullnerbach
3642,Bergern im Dunkelsteinerwald
3140,St. Pölten
2241,Schönkirchen-Reyersdorf
3643,Maria Laach am Jauerling
2113,Großrußbach
2842,Edlitz
2442,Ebreichsdorf
2754,Waldegg
3332,Sonntagberg
3370,Ybbs an der Donau
2112,Harmannsdorf
2243,Matzen-Raggendorf
3462,Absdorf
3324,Euratsfeld
2111,Harmannsdorf
3170,Hainfeld
3950,Großdietmanns
3252,Petzenkirchen
2054,Haugsdorf
3572,St. Leonhard am Hornerwald
2560,Hernstein
2082,Hardegg
3620,Spitz
3484,Grafenwörth
3062,Kirchstetten
3712,Maissau
3333,Sonntagberg
3340,Waidhofen an der Ybbs
3654,Raxendorf
3553,Langenlois
3353,Seitenstetten
2272,Ringelsdorf-Niederabsdorf
2620,Neunkirchen
3382,Loosdorf
2222,Bad Pirawarth
3365,Allhartsberg
3380,Pöchlarn
3283,Scheibbs
2640,Gloggnitz
2752,Wöllersdorf-Steinabrückl
2811,Wiesmath
2404,Petronell
2170,Poysdorf
3224,Mitterbach am Erlaufsee
3341,Ybbsitz
2721,Bad Fischau-Brunn
2193,Wilfersdorf
3224,Mitterbach
3594,Pölla
3322,Viehdorf
2460,Bruck an der Leitha
3264,Gresten
3660,Klein-Pöchlarn
3251,Purgstall an der Erlauf
3353,Biberbach
2851,Krumbach
2242,Prottes
2763,Muggendorf
2751,Wöllersdorf-Steinabrückl
3485,Grafenegg
2753,Markt Piesting
3744,Meiseldorf
2821,Lanzenkirchen
2700,Lanzenkirchen
2291,Lassee
2061,Hadres
3021,Pressbaum
2831,Warth
3661,Artstetten
3710,Ziersdorf
3730,Burgschleinitz-Kühnring
3371,Neumarkt an der Ybbs
3573,Rosenburg-Mold
3650,Raxendorf
3701,Großweikersdorf
2763,Pernitz
2051,Zellerndorf
3052,Neustift-Innermanzing
2123,Hochleithen
2301,Groß-Enzersdorf
2263,Dürnkrut
3434,Tulbing
2100,Leobendorf
3053,Brand-Laaben
3325,Ferschnitz
2662,Schwarzau im Gebirge
3813,Dietmanns
3012,Wolfsgraben
3033,Altlengbach
2873,Feistritz am Wechsel
3650,Pöggstall
3150,Wilhelmsburg
3542,Gföhl
2100,Stetten
2680,Semmering
3013,Pressbaum
2102,Hagenbrunn
3512,Bergern im Dunkelsteinerwald
2472,Prellenkirchen
3160,Traisen
3281,Oberndorf an der Melk
4482,Ennsdorf
2334,Vösendorf
2202,Enzersfeld im Weinviertel
3214,Puchenstuben
3730,Eggenburg
3372,Blindenmarkt
2465,Höflein
3073,Stössing
2325,Himberg
2523,Tattendorf
2431,Enzersdorf an der Fischa
2123,Kreuttal
3914,Waldhausen
3925,Altmelon
3643,Maria Laach
3610,Weißenkirchen in der Wachau
2823,Pitten
2493,Lichtenwörth
2104,Spillern
3511,Furth bei Göttweig
3562,Schönberg am Kamp
2860,Kirchschlag in der Buckligen Welt
3121,Karlstetten
3704,Heldenberg
2483,Ebreichsdorf
3354,Wolfsbach
3314,Strengberg
2801,Katzelsdorf
3311,Zeillern
2185,Hauskirchen
2212,Großengersdorf
3344,St. Georgen am Reith
3433,Königstetten
3270,Scheibbs
3263,Randegg
2052,Pernersdorf
3672,Maria Taferl
3684,St. Oswald
2632,Wimpassing im Schwarzatale
2624,Breitenau
3304,St. Georgen am Ybbsfelde
2564,Weissenbach an der Triesting
3426,Muckendorf-Wipfing
2073,Schrattenthal
2822,Bad Erlach
2500,Siegenfeld
2191,Gaweinstal
3313,Wallsee-Sindelburg
3424,Zeiselmauer-Wolfpassing
3072,Kasten bei Böheimkirchen
3903,Echsenbach
2351,Wiener Neudorf
2880,Kirchberg am Wechsel
2024,Mailberg
3361,Aschbach-Markt
3345,Göstling an der Ybbs
3163,Rohrbach an der Gölsen
3601,Dürnstein
3571,Gars am Kamp
3352,St. Peter in der Au
3213,Laubenbachgegend
3343,Hollenstein an der Ybbs
3970,St. Martin
3492,Grafenegg
3292,Gaming
3720,Ravelsbach
3331,Kematen an der Ybbs
2620,Wartmannstetten
2273,Hohenau an der March
2285,Leopoldsdorf im Marchfelde
2563,Pottenstein
3161,St. Veit an der Gölsen
3580,Rosenburg-Mold
3362,Oed-Oehling
3452,Atzenbrugg
3533,Zwettl-Niederösterreich
2802,Hochwolkersdorf
3592,Röhrenbach
3842,Thaya
3751,Sigmundsherberg
3702,Rußbach
3743,Röschitz
2221,Groß-Schweinbarth
3653,Raxendorf
2062,Seefeld-Kadolz
7533,Ollersdorf im Burgenland
4204,Ottenschlag im Mühlkreis 
8051,Graz
5360,Sankt Wolfgang im Salzkammergut
9524,Villach
6408 ,Pettnau
8045,Graz
9562,Himmelberg
2852,Hochneukirchen
8301,Gratkorn
9122,Sankt Kanzian
9721,Kellerberg
9210,Pörtschach
6232,Münster
4849,Puchkirchen
3107,Sankt Pölten-Traisenpark
6364,Hopfgarten im Brixental
9020,klagenfurt
5252,Aspach
6330,Ebbs
5071,Viehhausen
4391,Waldhausen
6682,Vils
9344,Weitensfeld im Gurktal
6330,Kufstein
9861,Eisentratten
5101,Bergheim
5541,Altenmarkt
6352,Ellmau
4082,Aschach an der Donau
8341,Paldau
8046,Hub
5771,Leogang
9082,Maria Wörth
4111,Walding
8212,Gersdorf an der Feistritz
5531,Eben im Pongau
8962,Mitterberg-Sankt Martin
99947,Bad Langensalza
5550,Höggen
7111 ,Parndorf
5562,Tweng
2700,Wr. Neustadt
6433,Oetz
2435,Ebergassing
8082,Kirchbach in der Steiermark
9473,Lavamünd
9360,Friesach
6714,Nüziders
9853,Gmünd
6675,Tannheim
6100,Seefeld 
8990,Grundlsee
9521,Treffen am Ossiacher See
6430,Ötztal
5562,Obertauern
9020,Sankt Peter am Bichl
8523,Frauental
9065,Ebenthal
6700,Bludenz
6444,Längenfeld
4153,Peilstein
9873,Döbriach
6274,Aschau
4240,Kefermarkt
01773,Altenberg
4120,Neufelden
09439,Amtsberg OT Weißbach
9300,St. Veit an der Glan
9772,Dellach im Drautal
6293,Tux
3107,St.Pölten
6410,Buchen
4175,Herzogsdorf
9131,Grafenstein
3511,Furth/Palt
8311,Markt Hartmannsdorf
6215,Achenkirch
7512,Kohfidisch
86415,Mering
4232,Hagenberg im Mühlkreis
8552,Eibiswald
6280,Zell am Ziller
9570,Ossiach
6973,Höchst
Forstau,5552
7203,Wiesen
4645,Grünau im Almtal
8223,Zeil bei Stubenberg
2333,Leopoldsdorf
33334,Gütersloh
8965,Michaelaberg Pruggern
4303,Sankt Pantaleon-Erla
8982,Tauplitz
6133 ,Weerberg
9560,Feldkirchen
6344,Walchsee
9300,Sankt Veit
6236,Alpbach
34123,Kassel
6600,Reutte
4623,Gunskirchen
5400,Adneter Riedl
9371,Brückl
60314,Frankfurt am Main
6651,Häselgehr
5453,Werfenweng
6380,St.Johann in Tirol
4101,Feldkirchen
4973,St.Martin/Innkreis
5360,Ried
4300,Sankt Valentin
4782,Sankt Florian am Inn
5310,Gaisberg
6184,St. Sigmund imSellrain
2560,Berndorf
5541,Altenmarkt im Pongau
6111,Volders
5652,Dienten
5431,Kuchl
5600,Sankt Johann im Pongau
8972,Ramsau an Dachstein
9330,Klagenfurt am Wörthersee
6677,Schattwald
9073,Klagenfurt am Wörthersee
8523,Laßnitz
6673,Grän
5360,St.Wolfgang
6213, Pertisau
4204,Reichenau im Mühlkreis
9710,Feistritz an der Drau
6233,Voldöpp
4812,Pinsdorf 
81539,München
6408,Pettnau
8992,Altaussee
9632,Kirchbach
6677,Zöblen
9201,Krumpendorf
3312,Oed-Oehling
9583,Faak am See
5441,Abtenau
6580,St.Anton
8344,Bairisch Kölldorf
2320,Kledering
2384,Breitenfurt
4840,Dörfl
8504,Stainz
2181,Palterndorf-Dobermannsdorf
6330,Thierberg
5303,Thalgau
4451,Sankt Ulrich bei Steyr
9551,Bodensdorf
2100,Kroneuburg
4017,Linz
8502,Lannach
7422,Riedlingsdorf
9611,Nötsch im Gailtal
6430,Haiming
9170,Ferlach
6430,Ötztal Bahnhof
8054 ,Graz
4851,Gampern
5753,Saalbach
3100,Sankt Pölten
8864,Turracher Höhe
6170,Zirl
6433,Ochsengarten
8324,Kirchberg an der Raab
9854,Malta
5580,Tamsweg
6580,St . Anton am Arlberg
4210,Gallneukirchen
6430,Ötztal-Bahnhof
9863,Rennweg am Katschberg
5621,St. Veit im Pongau
3323,Neustadtl
9822,Stappitz
33378,Rheda-Wiedenbrück
6170 ,Zirl
9122,Sankt Kanzian am Klopeiner See
6341,Ebbs
9545,Radenthein
9620,Presseggersee
7410,Loipersdorf-Kitzladen
3133,Traismauer
9020 ,Klagenfurt
9155,Neuhaus
99427,Weimar
8041,Graz-Liebenau
9472,Ettendorf
4880,Sankt Georgen am Attergau
6413,Wildermieming
6072,Innsbruck
6162,Mutters
6080,Innsbruck
6143,Mühlbachl
6105 ,Leutasch
6020 ,Innsbruck
6073,Sistrans
6141,Schönberg im Stubaital
8143,Dobl
6780,Schruns
6321,Angath
6465,Nassereith
2123,Wolfpassing an der Hochleithen
4300 ,St. Valentin
2464,Göttlesbrunn
6845,Hohenems
6754,Klösterle
9131,Dolina
5440,Golling an der Salzach
7423 ,Pinkafeld
5440 ,Golling an der Salzach
2123 ,Wolfpassing an der Hochleithen
3033 ,Steinhäusl
9112,Griffen
9712,Fresach
9841,Winklern
9761,Greifenburg
9631,Tröpolach
9143,St. Michael ob Bleiburg
9150,Bleiburg
9601,Arnoldstein
9821,Obervellach
9141,Eberndorf
9220,Velden am Wörther See
9103,Diex
9081,Reifnitz
9831,Flattach
9631,Hermagor-Presseger See
9524,Villach-St. Magdalen
9413,St. Gertraud
9212,Techelsberg am Wörthersee
9546,Bad Kleinkirchheim
9062,Moosburg
8773,Kammern im Liesingtal
9313,St. Georgen am Längsee
9844,Heiligenblut
9640,Kötschach
9330,Treibach-Althofen
9762,Weissensee
9232,Rosegg
9584,Finkenstein
9132,Gallizien
9504,Warmbad-Villach
9184,St. Jakob im Rosental
9470,St. Paul im Lavanttal
9535,Schiefling
9314,Launsdorf
9102,Völkermarkt
9822,Mallnitz
9210,Pörtschach am Wörthersee
9635,Dellach im Gailtal
9815,Kolbnitz
6600,Breitenwang
6600,Lechaschau
6622,Berwang
4252,Liebenau
4292,Kefermarkt
4273,Kaltenberg
4030,Linz
4240,Waldburg
4212,Neumarkt im Mühlkreis
4052,Ansfelden
4242,Hirschbach im Mühlkreis
4372,St. Georgen am Walde
4261,Rainbach im Mühlkreis
4040,Neulichtenberg
4470,Enns
4202,Kirchschlag bei Linz
4251,Sandl
4310,Mauthausen
4225,Luftenberg an der Donau
4283,Bad Zell
4211,Alberndorf in der Riedmark
4209,Engerwitzdorf
4172,St. Johann am Wimberg
4481,Asten
4222,St. Georgen an der Gusen
4360,Grein
4311,Schwertberg
4282,Pierbach
4230,Pregarten
4271,St. Oswald bei Freistadt
4294,St. Leonhard bei Freistadt
4291,Lasberg
4272,Weitersfelden
4209,Schweinbach
4262,Leopoldschlag
5020,salzbuzrg
8684,Spital am Semmering
6861,Alberschwende
5204,Strasswalchen
2362,Biedermannsdorf
4294,St. Leonhard
6277,Zellberg
8443,Gleinstaetten
4085,Wesenufer
9433,St. Andrä
4931,Mettmach
4852,Weyregg am Attersee
3233,Kilb
1160,Wien
8820,Sankt Georgen bei Neumarkt
4754,Furt
3340,Waidhofen / Ybbs
7540,Guessing
2245,Brunn am Gebirge
3203,Rabenstein
3100,St. Poelten
8423,Sankt Veit in der Steiermark
2860,Kirchschlag
8054,Graz
9813,Moellbruecke
5310,Mondseee
5071,Wals-Siezenheim
5600,St. Johann im Pongau
1102,Wien
5142,Eggelsberg
6300,Woergl
2440,Gramatneusiedl
6901,Bregenz
6850,Dornbirn
5121,Tarsdorf
8431,Gralla
5440,Scheffau
5602,Wagrain (Pongau)
5584,Zederhaus
5742,Wald im Pinzgau
5163,Mattsee
5671,Bruck an der Großglocknerstraße
5423,St. Koloman
5084,Großgmain
5061,Glasenbach
5440,Scheffau am Tennengebirge
5162,Obertrum am See
5571,Mariapfarr
5324,Faistenau
5325,Plainfeld
5622,Goldegg im Pongau
5411,Oberalm
5081,Anif
5110,Oberndorf bei Salzburg
